,link,most_freq_positioning
3217,elizabeth,center-top
3218,elizabeth 1,center-top
3219,elizabeth i,top
3220,elizabeth i of england,center-top
3221,elizabeth i's,center
3222,elizabeth ii,top
3223,elizabeth ii of the united kingdom,top
3224,elizabeth ii of the united kingdom|queen elizabeth ii,top
3225,elizabethean,center
3226,elvis,center
3227,elvis presley,center
3228,emacs,top
3229,emanuel swedenborg,top
3230,emirate,top
3231,emirates,top
3232,emotion,top
3233,emotional,top
3234,emotional stability,center
3235,emotionally,center-bottom
3236,emotions,top
3237,emperor and king charles,top
3238,emperor charles v,center-top
3239,emperor friedrich ii,top
3240,emperor hirohito,bottom
3241,emperor of the french,center-top
3242,emperor penguin,top
3243,emperor penguins,bottom
3244,empire,top
3245,empires,center-top
3246,empirical,top
3247,empirical evidence,center
3248,empirical observation,bottom
3249,empirical observations,top
3250,empiricism,center
3251,empiricist,center-top
3252,employee,top
3253,employer,top
3254,employment,top
3255,emu,bottom
3256,emus,center-bottom
3257,en,top
3258,enamel,top
3259,enceladus,center-bottom
3260,encoded,center
3261,encyclopaedia cd,top
3262,encyclopædia britannica,center
3263,endeavour,top
3264,energies,top
3265,energy,top
3266,energy source,top
3267,engineer,bottom
3268,engineering,top
3269,engineers,top
3270,england,top
3271,england expects that every man will do his duty,center
3272,england in 1086,center-bottom
3273,england's,center-bottom
3274,english,top
3275,english alphabet,center-bottom
3276,english channel,top
3277,english colony,top
3278,english king,center
3279,english kings,top
3280,english language,top
3281,english name,center-top
3282,english naval squadrons,top
3283,english peasant revolt,center
3284,english poet,top
3285,english poetry,top
3286,english pronunciation,top
3287,english reformation,top
3288,english speaking world,center
3289,english words,bottom
3290,english-language,top
3291,english-language poetic modernism,center
3292,english-speaking,top
3293,english-speaking world,bottom
3294,englishman,top
3295,englishwoman,center-top
3296,enigma machine,center-top
3297,enlightenment,center-bottom
3298,enlightenment spirit,center
3299,enslaved,top
3300,enslavement,bottom
3301,enterprise,top
3302,enterprises,center
3303,entropy,bottom
3304,environment,bottom
3305,environmental change,center
3306,environmental diversity,top
3307,environmental science,top
3308,enzyme kinetic,bottom
3309,enzyme kinetics,center-bottom
3310,eocene,center-top
3311,epaminondas,center
3312,epazote,bottom
3313,epic of gilgamesh,top
3314,episcopal polity,top
3315,episcopalian,top
3316,episode iv: a new hope.,center-bottom
3317,equal protection,top
3318,equal protection clause,center
3319,equality of liberty,center-top
3320,equatorial guinea,bottom
3321,equatorial guinea child sponsorship,center-bottom
3322,equatorial guinea,bottom
3323,er,center-top
3324,erbium,center
3325,eric clapton,top
3326,erie canal,top
3327,eris,center
3328,eritrea,bottom
3329,eritrean,center-bottom
3330,ernest hemingway,bottom
3331,ernest hemingway's,top
3332,ernest rutherford,top
3333,"ernesto ""che"" guevara",center-top
3334,ernesto che guevara,center-bottom
3335,ernesto “che” guevara,center-top
3336,eruption,top
3337,eruption column,center
3338,eruption columns,center
3339,eruptions,center
3340,erwin rommel,center-bottom
3341,es,center-bottom
3342,esa,center-bottom
3343,esa's,center-bottom
3344,eskimo,center-bottom
3345,eskimos,center-bottom
3346,esperanto,center-bottom
3347,esperanto and education,top
3348,essential oil,center-bottom
3349,essential oils,top
3350,estonia,bottom
3351,estonia child sponsorship,center
3352,estonia's,center-bottom
3353,estonian,center-top
3354,estonians,center
3355,ethanol,top
3356,ethanolic,center-top
3357,ether,center-top
3358,ethical,center
3359,ethical code,top
3360,ethical philosophies,top
3361,ethical philosophy,center
3362,ethical principles,top
3363,ethics,top
3364,ethiopia,bottom
3365,ethiopia child sponsorship,bottom
3366,ethiopian,top
3367,ethiopians,center
3368,ethiopic,center-top
3369,ethnic,top
3370,ethnic conflict in sri lanka,top
3371,ethnic group,top
3372,ethnic groups,top
3373,ethnicity,center
3374,ethno,top
3375,ethyl alcohol,center-top
3376,eu,center-top
3377,eubacteria,center-top
3378,euclid,top
3379,euclid's,top
3380,euclidean,center-top
3381,euclidean geometry,center-bottom
3382,euclidean plane geometry,top
3383,euclidean space,top
3384,euclides,bottom
3385,eukaryote,center
3386,eukaryotes,top
3387,eukaryotic,top
3388,eukaryotic cell,top
3389,euler,center-top
3390,euphausids,bottom
3391,euphrates,center
3392,eur,bottom
3393,eurasian eagle owl,bottom
3394,eurasian jay,top
3395,euro,bottom
3396,europe,top
3397,europe's,center-bottom
3398,european,top
3399,european community,center
3400,european finances,top
3401,european goldfinch,center
3402,european parliament,center-bottom
3403,european part of netherlands,center-top
3404,european philosophy,top
3405,european single currency,center-bottom
3406,european space agency,bottom
3407,european union,top
3408,european union (eu),bottom
3409,european union's,top
3410,european wolf,center-bottom
3411,europeans,top
3412,europeans (particularly spaniards and basques),center-bottom
3413,european union,top
3414,europium,top
3415,euros,center-top
3416,eurovision,center-bottom
3417,eurovision song contest,center-bottom
3418,eu€,center-top
3419,evaporate,bottom
3420,evening star,center-bottom
3421,events,center-top
3422,events at taku forts,center-top
3423,events@soschildren.org,center-top
3424,everest,center-bottom
3425,evita,bottom
3426,evolution,top
3427,evolution by natural selection,center-bottom
3428,evolutionarily,top
3429,evolutionary,top
3430,evolutionary advantage,center-top
3431,evolutionary biologist,top
3432,evolutionary biology,top
3433,evolutionary science,center-top
3434,evolutionary stable strategy,bottom
3435,evolutionists,top
3436,evolve,center-top
3437,evolved,top
3438,evolving,center
3439,ex-soviet republics,center-bottom
3440,ex-yugoslavians,center
3441,"example of sos social centre lusaka, zambia",center
3442,"example of sos social centre mamelodi, south africa",center
3443,"example of sos social centre mbabane, swaziland",center
3444,"example of sos social centre waterfalls, zimbabwe",center-top
3445,exchanges,center-bottom
3446,executive,top
3447,existential,bottom
3448,existentialism,center
3449,existentialist,top
3450,existentialist thinkers,center-bottom
3451,expanded,top
3452,expanding,top
3453,expanding space paradigm,top
3454,expansion,top
3455,expansion of space,center-top
3456,expansion of the universe,center-top
3457,explained below,center-bottom
3458,exploration,top
3459,exploration of mars,top
3460,exploration of space,top
3461,explorer i,top
3462,expressionism,bottom
3463,expressionist,bottom
3464,expressionists,bottom
3465,expulsion,center-top
3466,extensive french aid,top
3467,extinct,top
3468,extinction,top
3469,extinctions,top
3470,extras,center-top
3471,extrasolar,bottom
3472,extrasolar planet,top
3473,extrasolar planets,top
3474,extraterrestrial,top
3475,extraterrestrial civilizations,top
3476,extraterrestrial life,top
3477,extremely cold,center-bottom
3478,eye,top
3479,eyeball,top
3480,eyelid,top
3481,eyelids,center-top
3482,eyes,center-top
3483,eyewall,center-top
3484,eyewall replacement cycles,top
3485,eygpt,center
3486,ezra pound,top
3487,f,center-bottom
3488,f-35 joint strike fighter,top
3489,f-35 lightning ii,top
3490,f-35 lightning iis,bottom
3491,f-35b,bottom
3492,f-4 phantom ii,center-bottom
3493,f7,center-bottom
3494,f7s,center-top
3495,fa units,center-top
3496,fabric,top
3497,fabrics,bottom
3498,facilitate his own rise to power,top
3499,facing crisis,top
3500,facts and figures,center
3501,failures,top
3502,fair isle,center-top
3503,falcon,center-bottom
3504,falcons,center-top
3505,falkland islands,center-top
3506,falkland islands dependencies,top
3507,falkland/malvinas islands,top
3508,falkland islands,bottom
3509,fall,top
3510,fall season,center
3511,famicom,center-bottom
3512,families,center-top
3513,family,top
3514,family carer programme in ghana,center-top
3515,family life,center-top
3516,family tree,top
3517,famine,center
3518,famines,center
3519,fancy cut,center-top
3520,fancy cuts,top
3521,far ultraviolet,center
3522,faraday,top
3523,farming,center
3524,farms,center
3525,faroe islands,bottom
3526,faroese,center-bottom
3527,fascism,top
3528,fascist,center-top
3529,fascists,center-top
3530,fashion,top
3531,fashionably-dressed,top
3532,fashions,center-top
3533,fat,center-top
3534,father,top
3535,fatty,center-top
3536,fatty acid,top
3537,fatty acids,top
3538,fbi,center
3539,fbi (federal bureau of investigation),bottom
3540,fdr,center
3541,fdr democrat,top
3542,fe,center-bottom
3543,feathers,center-bottom
3544,feature length films,top
3545,fecl3,center-top
3546,fed cup,center-top
3547,federal,top
3548,federal bureau of investigation,top
3549,federal council,center-top
3550,federal district,center-top
3551,federal government,center
3552,federal mps,center-bottom
3553,federal parliament,center-top
3554,federal republic of germany,bottom
3555,federated states of micronesia,center-top
3556,federation cup,center
3557,fedora core,bottom
3558,feldspar,center-top
3559,feldspars,center
3560,felines,center-top
3561,felix mendelssohn,bottom
3562,felix mendelssohn bartholdy,center-bottom
3563,felix the cat,center-bottom
3564,fencing,top
3565,fenlands,top
3566,fennel,top
3567,fennel plant,center
3568,ferdinand magellan,top
3569,ferdinand magellan's,top
3570,ferdinandea,center-top
3571,fermi paradox,bottom
3572,fermium,bottom
3573,fern,center
3574,ferns,center
3575,fertile crescent,center-top
3576,fertilisers,bottom
3577,fertilization,center
3578,fertilizer,bottom
3579,fertilizers,top
3580,feynman,bottom
3581,ffestiniog railway,center-top
3582,fibre optic,center-bottom
3583,fibre-optic,center-bottom
3584,fibre-optics,center-bottom
3585,fibreglass,center
3586,fiction,top
3587,fictional,top
3588,fictitious,center-bottom
3589,fidel castro,center-top
3590,fieldfares,center
3591,fifa,bottom
3592,fifa 6 for 2006,center-bottom
3593,"fifa broadcaster donates £485,000 to ""6 villages for 2006""",top
3594,fifa world cup,bottom
3595,fifa world cups,center-bottom
3596,fifa/sos ambassador,center
3597,fifa/sos ambassador castro and mexican team support 6 villages for 2006,center
3598,fifa/sos ambassadors,center
3599,"fifa/sos ambassadors dunga and hugo sanchez support ""6 villages for 2006""",top
3600,fifteenth,top
3601,fifteenth century,top
3602,fifth,bottom
3603,fifth centuries,bottom
3604,fifth century,top
3605,fifth world ocean,top
3606,fig. 1,center-top
3607,fig. 1,center-top
3608,fig. 4,top
3609,fig. 5,center-top
3610,figaro,center
3611,fighting in vietnam,bottom
3612,figure,center-bottom
3613,figure 1,center
3614,figure 2,top
3615,fiji,top
3616,fijian,top
3617,filipino,center-bottom
3618,filipinos,center
3619,film,top
3620,filmmaking,center
3621,films,bottom
3622,final fantasy,center-bottom
3623,finance,top
3624,financial,top
3625,financial centre,top
3626,financial management,bottom
3627,financial sector,center-bottom
3628,find out more about more about the fifa/sos partnership,center-top
3629,find out more about the campaign,center
3630,find out more here,bottom
3631,fine art,top
3632,fine arts,center
3633,finland,bottom
3634,finnish,center-top
3635,finns,center
3636,fire,bottom
3637,firearm,top
3638,firearms,center
3639,firecrest,center-top
3640,firefly,top
3641,firepower,center
3642,fires,center-top
3643,first,center-top
3644,first 'classic response',top
3645,first century,top
3646,first century bc,top
3647,first century ce,bottom
3648,first classic response,bottom
3649,first classic response concert,center-bottom
3650,first council of nicaea,bottom
3651,first crusade,top
3652,first crusaders,top
3653,first emperor,center-top
3654,first emperor qin shi huang,top
3655,first macedonian war,center
3656,first modern-day olympic games,top
3657,first transcontinental railroad,top
3658,first war,center-bottom
3659,first world war,top
3660,fish,top
3661,fish tank,center
3662,fished,center-top
3663,fishers,top
3664,fishes,center-top
3665,fishing,center-bottom
3666,fission,top
3667,fission bomb,center-bottom
3668,five-colored flag of the republic,center-top
3669,fix nitrogen,center
3670,fixation,top
3671,fixation of nitrogen,top
3672,fixed reference,center
3673,flag,center
3674,flag of india,center-top
3675,flag of the republic of china,center-bottom
3676,flame,top
3677,flames,top
3678,flamingo,top
3679,flamingoes,center-top
3680,flamingos,center-bottom
3681,flamsteed,center
3682,flanders,center-top
3683,flash banner,center-bottom
3684,flat earth,bottom
3685,flat geometry,center-bottom
3686,flemish,bottom
3687,flemish dialects,center-bottom
3688,flemish people,bottom
3689,flood,top
3690,flood myths,center-bottom
3691,flooded,center-top
3692,flooding,top
3693,floods,center
3694,floppy disk,center-top
3695,floppy disks,center
3696,florence nightingale,top
3697,florida,top
3698,florida east coast railway,center-top
3699,floridan,top
3700,floridas,center-top
3701,florist,bottom
3702,flower,center-top
3703,flowering,top
3704,flowers,top
3705,floyd,bottom
3706,fluorinated,center-top
3707,fluorine,top
3708,flute,bottom
3709,flutes,center
3710,fm,center-top
3711,fodor,top
3712,folic acid,center
3713,folk,top
3714,folk music,bottom
3715,folk musician,top
3716,folk scene,bottom
3717,folk song,center-bottom
3718,folk songs,center-bottom
3719,folk style,bottom
3720,folk tale,top
